rank,track,artist,album,streams,release_date,lead_artist_category
1,Shape of You,Ed Sheeran,÷,"2,475",06/01/2017,M
2,rockstar,Post Malone featuring 21 Savage,Beerbongs & Bentleys,"1,882",15/09/2017,M
3,One Dance,Drake featuring Wizkid and Kyla,Views,"1,840",05/04/2016,M
4,Closer,The Chainsmokers featuring Halsey,Collage,"1,757",29/07/2016,G
5,Thinking Out Loud,Ed Sheeran,×,"1,521",20/06/2014,M
6,God's Plan,Drake,Scorpion,"1,516",19/01/2018,M
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone and Swae Lee,Spider-Man: Into the Spider-Verse & Hollywood's Bleeding,"1,449",18/10/2018,MM
8,Dance Monkey,Tones And I,The Kids Are Coming,"1,433",10/05/2019,F
9,Havana,Camila Cabello featuring Young Thug,Camila,"1,424",03/08/2017,F
10,Perfect,Ed Sheeran,÷,"1,392",03/03/2017,M
11,Say You Won't Let Go,James Arthur,Back from the Edge,"1,387",09/09/2016,M
12,Love Yourself,Justin Bieber,Purpose,"1,372",09/11/2015,M
13,Señorita,Shawn Mendes and Camila Cabello,Shawn Mendes & Romance,"1,364",21/06/2019,MF
14,Photograph,Ed Sheeran,×,"1,348",20/06/2014,M
15,Lean On,Major Lazer and DJ Snake featuring MØ,Peace Is the Mission,"1,343",02/03/2015,GM
16,Despacito - Remix,Luis Fonsi and Daddy Yankee featuring Justin Bieber,Vida,"1,341",17/04/2017,MM
17,Believer,Imagine Dragons,Evolve,"1,337",01/02/2017,G
18,Starboy,The Weeknd featuring Daft Punk,Starboy,"1,336",21/09/2016,M
19,New Rules,Dua Lipa,Dua Lipa,"1,335",02/06/2017,F
20,bad guy,Billie Eilish,"When We All Fall Asleep, Where Do We Go?","1,327",29/03/2019,F
21,Sorry,Justin Bieber,Purpose,"1,297",22/10/2015,M
22,Don't Let Me Down,The Chainsmokers featuring Daya,Collage,"1,284",05/02/2016,G
23,Something Just Like This,The Chainsmokers and Coldplay,Memories...Do Not Open,"1,281",22/02/2017,G
24,Thunder,Imagine Dragons,Evolve,"1,263",27/04/2017,G
25,SAD!,XXXTentacion,?,"1,263",01/03/2018,M
